# THE CENSUS: every host cited anywhere in the research lane, by count.
#
# Produced by `bash egress-probe.sh --extract` on 2026-09-18, over 38 topic
# folders across the research branches. Format: count, then host.
#
# RE-RUNNING IT WILL NOT PRINT THE SAME DENOMINATOR, and that is not drift in
# the answer. --extract counts BRANCHES and FILES, and this record's own
# branch adds one of each; the run that produced the file read 38 branches
# and the run made minutes later read 39. The distinct-host count is the
# number that carries the argument and it was 320 in both.
#
# THIS IS NOT AN ALLOWLIST REQUEST. Most of these arrived inside
# search-engine summaries and were never fetched; a large share are
# aggregators and content farms. The curated subset that would actually
# change a finding is hosts-probed.txt, and the argument for each tier is in
# DELIVERY.md. Read this file as "what the deliveries lean on", not as "what
# to open".
#
# 320 distinct hosts.
    155 en.wikipedia.org
     97 www.gamedeveloper.com
     83 www.strayspark.studio
     57 github.com
     56 www.pcgamer.com
     50 forums.unrealengine.com
     50 dev.epicgames.com
     41 arxiv.org
     37 colepowered.com
     30 www.intel.com
     30 evezone.evetech.co.za
     29 www.wayline.io
     28 localaimaster.com
     27 huggingface.co
     24 datashare.ed.ac.uk
     21 gamerant.com
     20 80.lv
     17 www.unrealengine.com
     16 www.gamesradar.com
     16 store.steampowered.com
     15 www.techspot.com
     15 vrealmatic.com
     15 unrealdirective.com
     15 unrealartoptimization.github.io
     15 pcoptimizedsettings.com
     15 icon-era.com
     15 gameworldobserver.com
     15 en.gamegpu.com
     15 altheragames.com
     14 www.pcgamesinsider.biz
     14 www.npr.org
     14 www.legislation.gov.uk
     14 www.gamespot.com
     14 softwareengineeringdaily.com
     14 rogueliker.com
     14 mein-mmo.de
     14 blog.playstation.com
     13 www.resemble.ai
     13 www.researchgate.net
     13 www.dexerto.com
     13 vucense.com
     13 technspire.com
     13 runaihome.com
     13 lukaslicon.itch.io
     13 kotaku.com
     13 indieforgames.com
     13 computingforgeeks.com
     13 blog.sandbase.ai
     13 api.anthropic.com
     12 www.windowscentral.com
     12 www.tensorflow.org
     12 www.soundverse.ai
     12 holonlaw.com
     12 discover.oreateai.com
     12 cognitivefuture.ai
     11 www.timeextension.com
     11 www.techradar.com
     11 www.slashgear.com
     11 www.nomanssky.com
     11 www.neogaf.com
     11 www.ibtimes.co.uk
     11 www.destructoid.com
     11 www.cracked.com
     11 thanasispapadopoulos.medium.com
     11 techcrunch.com
     11 link.springer.com
     11 hansard.parliament.uk
     11 dotesports.com
     11 blog.paavo.me
     10 www.sleuthsayers.org
     10 www.imdb.com
     10 www.economicshelp.org
     10 www.brh.org.uk
     10 sohopress.com
     10 sebald.wordpress.com
     10 research.brighton.ac.uk
     10 nostalgiacentral.com
     10 martincloake.medium.com
     10 libcom.org
     10 hitman.fandom.com
     10 crimefictionlover.com
      9 www.prodigium-pictures.com
      9 www.myfavouritelens.com
      9 www.kodak.com
      9 www.holygrain.com
      9 www.filmmakersacademy.com
      9 www.cined.com
      9 thedarkroom.com
      9 nofilmschool.com
      9 medium.com
      9 digitalproduction.com
      9 blog.dehancer.com
      9 analoguewonderland.co.uk
      9 125px.com
      8 www.techbuzz.ai
      8 www.soonlab.ai
      8 www.sciencedirect.com
      8 www.historians.org
      8 www.a90skid.com
      8 reddead.fandom.com
      7 www.moddb.com
      7 www.cbr.com
      7 www.articy.com
      7 kingdomcomedeliverance2.wiki.fextralife.com
      7 ixbt.games
      7 ieeexplore.ieee.org
      6 www.yourgenome.org
      6 www.thegamer.com
      6 steamcommunity.com
      6 narrativeflow.dev
      6 loreweaver.ink
      6 dunia.gg
      4 www.rdr2.org
      4 www.gdcvault.com
      4 www.fab.com
      4 tvtropes.org
      4 mocaponline.com
      4 deltiasgaming.com
      4 cogconnected.com
      3 www.oxfordreference.com
      3 www.ncbi.nlm.nih.gov
      3 www.ebsco.com
      3 www.college.police.uk
      3 www.classcentral.com
      3 tech-insider.org
      3 targetjobs.co.uk
      3 simplyforensic.com
      3 rimworldwiki.com
      3 nij.ojp.gov
      3 gamers.wiki
      3 discoelysium.wiki.gg
      3 developer.nvidia.com
      3 colepowered.itch.io
      2 yelzkizi.org
      2 www.worldofleveldesign.com
      2 www.policestationagent.com
